name,color,price_eur,tax,image
Continental,Goldenrod,73.19,19,https://picsum.photos/200/300/?image=1
Mustang,Goldenrod,49.75,20,https://picsum.photos/200/300/?image=2
Grand Vitara,Turquoise,19.06,21,https://picsum.photos/200/300/?image=3
Pajero,Puce,35.7,22,https://picsum.photos/200/300/?image=4
EXP,Aquamarine,26.13,23,https://picsum.photos/200/300/?image=5
Golf,Fuscia,50.64,24,https://picsum.photos/200/300/?image=6
Explorer Sport Trac,Puce,76.08,25,https://picsum.photos/200/300/?image=7
Rally Wagon 2500,Red,56.14,26,https://picsum.photos/200/300/?image=8
J,Turquoise,44.02,27,https://picsum.photos/200/300/?image=9
Astro,Turquoise,33.65,28,https://picsum.photos/200/300/?image=10
Sierra 2500,Purple,26.97,29,https://picsum.photos/200/300/?image=11
Continental GT,Fuscia,30.26,30,https://picsum.photos/200/300/?image=12
Continental GT,Mauv,63.78,31,https://picsum.photos/200/300/?image=13
Esteem,Goldenrod,61.47,32,https://picsum.photos/200/300/?image=14
LS,Aquamarine,23.38,33,https://picsum.photos/200/300/?image=15
Outlook,Teal,66.99,34,https://picsum.photos/200/300/?image=16
911,Orange,25.83,35,https://picsum.photos/200/300/?image=17
Jetta,Green,42.49,36,https://picsum.photos/200/300/?image=18
Bronco,Pink,60.81,37,https://picsum.photos/200/300/?image=19
Savana,Yellow,63.5,38,https://picsum.photos/200/300/?image=20
